iter	Logloss
0	0.6873507982
1	0.6822635779
2	0.676847265
3	0.6705170964
4	0.6655563183
5	0.6602958936
6	0.6540142874
7	0.6492256422
8	0.643316719
9	0.6382974346
10	0.6341240701
11	0.6292823191
12	0.6244913165
13	0.6188449645
14	0.614774554
15	0.6101718002
16	0.605639297
17	0.6004835836
18	0.597104319
19	0.5922788984
20	0.5882203606
21	0.5845577797
22	0.5800732388
23	0.575777461
24	0.5720316855
25	0.5677235635
26	0.5636409802
27	0.5596481066
28	0.5564384032
29	0.5528708897
30	0.5500013373
31	0.5468350957
32	0.5430658748
33	0.5397706193
34	0.5375560375
35	0.5346990864
36	0.5322441358
37	0.5296179954
38	0.5264898579
39	0.5234933917
40	0.5211572969
41	0.5184338173
42	0.5160777917
43	0.5143223452
44	0.5114804386
45	0.509645312
46	0.5074310303
47	0.5051326966
48	0.5021749775
49	0.4991115613
50	0.4962956289
51	0.4944536016
52	0.4923415023
53	0.4900563701
54	0.4884844576
55	0.4864973861
56	0.4845739215
57	0.4821981366
58	0.4801499013
59	0.4786712989
60	0.4765254674
61	0.4746378781
62	0.472544638
63	0.4706890663
64	0.4689229044
65	0.4670073263
66	0.465504507
67	0.4636581078
68	0.4619205775
69	0.4602247088
70	0.4591603226
71	0.4581024513
72	0.4565678286
73	0.4547592335
74	0.4535313296
75	0.4525393368
76	0.4507546157
77	0.449277042
78	0.4475584995
79	0.4459783147
80	0.4443941009
81	0.4427584959
82	0.4420672642
83	0.4404411316
84	0.4390027336
85	0.4373625423
86	0.4359844079
87	0.4349249508
88	0.4339301291
89	0.4325356644
90	0.4315019243
91	0.4303081812
92	0.4290461165
93	0.4282069688
94	0.4269209444
95	0.4256312767
96	0.424275859
97	0.4236529918
98	0.4231947567
99	0.4219996849
100	0.4213636591
101	0.4203041162
102	0.4192021402
103	0.4180204842
104	0.4170684814
105	0.4159130568
106	0.4149551392
107	0.4139256424
108	0.4129351498
109	0.4121954843
110	0.4114512754
111	0.4108412668
112	0.4099375693
113	0.4090259852
114	0.4083211663
115	0.4073861797
116	0.406485354
117	0.4056933542
118	0.404718892
119	0.4040977392
120	0.4033760328
121	0.4025355564
122	0.4019167611
123	0.4013534717
124	0.4006352371
125	0.3999625217
126	0.3992090118
127	0.3987974103
128	0.3982711535
129	0.397465738
130	0.3968187825
131	0.3961812137
132	0.3954752804
133	0.3949437516
134	0.3943940066
135	0.3938989532
136	0.3932847441
137	0.3925153754
138	0.3917436921
139	0.3911663013
140	0.3905363619
141	0.3898700328
142	0.3895971748
143	0.3892333641
144	0.3887323101
145	0.3883137221
146	0.3879598553
147	0.3876959983
148	0.386912228
149	0.3864747808
150	0.3858363119
151	0.3853992076
152	0.3852696794
153	0.3848856379
154	0.3845715898
155	0.3840585773
156	0.38346117
157	0.3829602445
158	0.3824152571
159	0.3818083345
160	0.3812796775
161	0.3807482344
162	0.3804545885
163	0.3800645035
164	0.3796689323
165	0.3793436115
166	0.37894624
