iter	Passed	Remaining
0	1	1814
1	3	1774
2	5	1807
3	7	1825
4	9	1817
5	10	1821
6	12	1841
7	15	1884
8	17	1923
9	20	2075
10	22	2054
11	24	2002
12	26	1989
13	28	1986
14	30	1981
15	32	1974
16	33	1962
17	36	1968
18	37	1950
19	39	1932
20	40	1911
21	42	1899
22	44	1887
23	46	1873
24	47	1862
25	49	1855
26	51	1856
27	53	1848
28	54	1836
29	56	1826
30	57	1798
31	59	1786
32	60	1777
33	62	1763
34	63	1745
35	65	1740
36	66	1742
37	68	1741
38	70	1743
39	72	1739
40	74	1735
41	75	1729
42	77	1725
43	78	1707
44	80	1705
45	81	1697
46	83	1693
47	84	1682
48	86	1680
49	88	1684
50	90	1683
51	92	1682
52	93	1675
53	95	1677
54	97	1677
55	99	1676
56	101	1673
57	102	1669
58	104	1665
59	106	1664
60	107	1661
61	109	1657
62	111	1658
63	113	1657
64	115	1655
65	116	1647
66	118	1644
67	119	1642
68	121	1639
69	123	1636
70	124	1626
71	126	1626
72	127	1623
73	129	1620
74	131	1617
75	132	1614
76	134	1613
77	136	1611
78	137	1607
79	139	1605
80	141	1606
81	143	1603
82	144	1601
83	146	1599
84	148	1593
85	149	1587
86	151	1587
87	153	1591
88	155	1591
89	157	1592
90	158	1584
91	160	1582
92	162	1580
93	163	1578
94	165	1575
95	166	1572
96	168	1569
97	170	1565
98	171	1563
99	173	1561
100	175	1558
101	176	1555
102	178	1552
103	179	1549
104	181	1546
105	183	1543
106	184	1540
107	186	1537
108	188	1537
109	189	1535
110	191	1533
111	192	1525
112	193	1521
113	194	1515
114	195	1508
115	196	1500
116	198	1498
117	199	1490
118	200	1487
119	203	1490
120	205	1490
121	207	1490
122	209	1491
123	210	1489
124	212	1487
125	214	1485
126	215	1483
127	217	1482
128	219	1481
129	221	1480
130	222	1477
131	224	1475
132	225	1472
133	227	1470
134	229	1467
135	230	1465
136	232	1463
137	234	1462
138	235	1457
139	237	1455
140	238	1455
141	240	1454
142	242	1453
143	244	1455
144	247	1457
145	249	1460
146	252	1463
147	254	1462
148	256	1463
149	257	1460
150	259	1459
151	261	1458
152	264	1463
153	266	1461
154	267	1458
155	269	1457
156	271	1455
157	272	1454
158	274	1453
159	276	1453
160	278	1453
161	280	1451
162	282	1449
163	283	1446
164	285	1444
165	287	1441
166	288	1439
167	290	1437
168	292	1436
169	293	1434
170	295	1432
171	297	1430
172	298	1428
173	300	1426
174	301	1420
175	302	1418
176	304	1416
177	306	1414
178	308	1412
179	309	1410
180	311	1408
181	312	1405
182	313	1400
183	315	1398
184	316	1395
185	318	1393
186	319	1390
187	320	1384
188	322	1383
189	324	1382
190	325	1379
191	327	1377
192	328	1375
193	330	1373
194	331	1370
195	333	1368
196	335	1366
197	336	1364
198	338	1363
199	340	1361
200	342	1359
201	343	1357
202	345	1355
203	346	1353
204	348	1351
205	350	1349
206	351	1348
207	354	1348
208	355	1347
209	357	1345
210	359	1343
211	360	1341
212	362	1339
213	364	1337
214	365	1336
215	367	1335
216	369	1334
217	371	1332
218	373	1331
219	375	1329
220	376	1328
221	378	1327
222	380	1325
223	381	1320
224	381	1315
225	383	1314
226	385	1312
227	387	1310
228	388	1308
229	390	1306
230	391	1304
231	393	1303
232	395	1301
233	397	1299
234	398	1298
235	400	1297
236	402	1295
237	404	1293
238	405	1291
239	407	1290
240	409	1288
241	410	1286
242	412	1285
243	414	1285
244	416	1283
245	418	1282
246	420	1280
247	421	1279
248	423	1276
249	424	1274
250	426	1271
251	428	1270
252	430	1270
253	432	1268
254	433	1267
255	435	1266
256	437	1264
257	438	1262
258	440	1260
259	442	1258
260	443	1256
261	445	1255
262	447	1253
263	448	1250
264	450	1248
265	451	1246
266	453	1244
267	455	1244
268	457	1243
269	458	1239
270	460	1239
271	462	1237
272	464	1235
273	465	1233
274	467	1231
275	468	1229
276	470	1227
277	471	1225
278	473	1223
279	475	1222
280	477	1220
281	478	1218
282	480	1216
283	481	1214
284	483	1212
285	484	1210
286	486	1208
287	488	1206
288	490	1205
289	491	1204
290	493	1202
291	495	1201
292	497	1199
293	498	1197
294	500	1195
295	501	1193
296	503	1191
297	505	1189
298	506	1188
299	508	1186
300	510	1185
301	511	1182
302	513	1180
303	514	1177
304	515	1174
305	516	1172
306	518	1170
307	520	1169
308	522	1167
309	523	1166
310	525	1164
311	527	1162
312	528	1160
313	530	1158
314	531	1156
315	533	1154
316	535	1152
317	536	1151
318	538	1149
319	540	1147
320	541	1145
321	543	1144
322	545	1142
323	546	1141
324	548	1139
325	550	1137
326	552	1136
327	553	1134
328	555	1132
329	556	1130
330	558	1128
331	560	1126
332	561	1124
333	562	1122
334	563	1119
335	565	1117
336	567	1116
337	569	1114
338	570	1112
339	572	1110
340	573	1109
341	575	1107
342	577	1105
343	578	1103
344	580	1102
345	582	1101
346	584	1099
347	586	1098
348	587	1096
349	588	1093
350	590	1092
351	592	1091
352	594	1089
353	596	1088
354	598	1087
355	599	1085
356	601	1084
357	603	1082
358	605	1081
359	607	1079
360	608	1077
361	610	1075
362	612	1074
363	613	1072
364	615	1070
365	617	1068
366	618	1067
367	620	1065
368	622	1064
369	624	1063
370	626	1062
371	628	1061
372	630	1060
373	632	1058
374	634	1056
375	635	1055
376	637	1053
377	639	1051
378	640	1049
379	642	1048
380	644	1046
381	645	1044
382	647	1042
383	648	1040
384	650	1039
385	652	1037
386	653	1035
387	654	1032
388	655	1030
389	657	1028
390	659	1026
391	660	1024
392	661	1022
393	663	1020
394	665	1019
395	667	1017
396	668	1015
397	670	1014
398	671	1012
399	673	1010
400	675	1009
401	677	1007
402	679	1006
403	680	1004
404	682	1002
405	684	1000
406	685	999
407	687	997
408	688	995
409	690	993
410	692	991
411	693	989
412	695	988
413	696	986
414	698	984
415	699	982
416	701	980
417	703	979
418	704	977
419	706	975
420	708	973
421	709	971
422	710	969
423	712	967
424	714	966
425	716	964
426	717	963
427	719	962
428	721	960
429	723	959
430	725	957
431	726	955
432	728	953
433	730	952
434	731	950
435	733	948
436	735	947
437	736	945
438	738	943
439	740	941
440	741	940
441	743	938
442	744	936
443	746	934
444	748	933
445	749	930
446	750	928
447	752	927
448	754	925
449	756	924
450	757	922
451	759	920
452	761	919
453	763	917
454	764	916
455	766	914
456	767	911
457	769	910
458	771	909
459	773	908
460	775	906
461	777	905
462	780	905
463	782	904
464	784	902
465	786	901
466	788	899
467	789	897
468	791	896
469	793	894
470	795	893
471	796	890
472	797	888
473	799	886
474	800	885
475	802	883
476	803	881
477	804	879
478	806	876
479	807	875
480	809	873
481	810	871
482	812	869
483	813	867
484	815	865
485	816	863
486	817	861
487	819	859
488	821	858
489	822	856
490	824	855
491	825	852
492	827	850
493	828	849
494	830	847
495	831	845
496	833	843
497	834	841
498	836	839
499	838	838
500	839	836
501	841	834
502	843	833
503	844	831
504	846	829
505	847	827
506	849	826
507	851	824
508	852	822
509	854	820
510	856	819
511	857	817
512	859	815
513	861	814
514	862	812
515	864	810
516	866	809
517	867	807
518	869	805
519	871	804
520	872	802
521	874	800
522	876	798
523	877	797
524	879	795
525	880	793
526	882	792
527	884	790
528	886	789
529	887	786
530	889	785
531	890	783
532	892	782
533	894	780
534	895	778
535	897	776
536	899	775
537	900	773
538	902	771
539	903	770
540	905	768
541	906	766
542	908	764
543	909	762
544	911	761
545	913	759
546	914	757
547	916	755
548	917	754
549	918	751
550	920	749
551	921	748
552	922	745
553	924	744
554	926	742
555	928	741
556	930	739
557	932	738
558	934	736
559	936	735
560	937	733
561	939	732
562	941	730
563	943	729
564	944	727
565	947	726
566	948	724
567	950	723
568	952	721
569	954	720
570	956	718
571	957	716
572	959	714
573	961	713
574	963	711
575	964	709
576	966	708
577	967	706
578	969	704
579	970	702
580	972	701
581	973	699
582	975	697
583	977	696
584	979	694
585	981	693
586	982	691
587	984	689
588	985	688
589	987	686
590	989	684
591	991	683
592	993	681
593	994	679
594	995	677
595	997	676
596	999	674
597	1000	672
598	1001	670
599	1003	668
600	1004	667
601	1006	665
602	1008	663
603	1010	662
604	1011	660
605	1013	658
606	1014	656
607	1015	655
608	1017	653
609	1019	651
610	1020	649
611	1022	648
612	1023	646
613	1025	644
614	1026	642
615	1027	640
616	1029	639
617	1031	637
618	1031	635
619	1033	633
620	1035	631
621	1037	630
622	1038	628
623	1039	626
624	1041	624
625	1042	623
626	1044	621
627	1046	619
628	1048	618
629	1049	616
630	1051	614
631	1053	613
632	1054	611
633	1056	609
634	1057	607
635	1059	606
636	1060	604
637	1062	602
638	1063	601
639	1065	599
640	1067	597
641	1069	596
642	1070	594
643	1072	592
644	1073	591
645	1075	589
646	1077	587
647	1078	585
648	1080	584
649	1082	582
650	1083	581
651	1085	579
652	1087	577
653	1088	575
654	1089	574
655	1091	572
656	1093	570
657	1095	569
658	1096	567
659	1098	565
660	1099	563
661	1101	562
662	1103	560
663	1105	559
664	1107	557
665	1108	556
666	1110	554
667	1112	552
668	1114	551
669	1116	549
670	1118	548
671	1119	546
672	1120	544
673	1122	542
674	1123	541
675	1125	539
676	1127	537
677	1136	539
678	1138	538
679	1139	536
680	1141	534
681	1143	533
682	1144	531
683	1146	529
684	1148	527
685	1149	526
686	1151	524
687	1153	523
688	1155	521
689	1157	519
690	1159	518
691	1161	516
692	1162	515
693	1164	513
694	1166	511
695	1167	510
696	1169	508
697	1171	506
698	1173	505
699	1175	503
700	1176	501
701	1178	500
702	1180	498
703	1182	497
704	1183	495
705	1185	493
706	1188	492
707	1189	490
708	1191	489
709	1193	487
710	1195	485
711	1197	484
712	1198	482
713	1200	480
714	1201	479
715	1203	477
716	1205	475
717	1207	474
718	1209	472
719	1211	471
720	1213	469
721	1214	467
722	1216	466
723	1218	464
724	1220	462
725	1221	461
726	1223	459
727	1225	457
728	1227	456
729	1228	454
730	1230	452
731	1232	451
732	1234	449
733	1236	447
734	1236	445
735	1238	444
736	1240	442
737	1241	440
738	1243	439
739	1244	437
740	1246	435
741	1248	433
742	1250	432
743	1251	430
744	1252	428
745	1254	427
746	1256	425
747	1257	423
748	1259	422
749	1260	420
750	1262	418
751	1264	416
752	1266	415
753	1267	413
754	1269	411
755	1271	410
756	1273	408
757	1274	407
758	1276	405
759	1278	403
760	1280	402
761	1281	400
762	1283	398
763	1285	397
764	1287	395
765	1288	393
766	1290	392
767	1292	390
768	1294	388
769	1296	387
770	1297	385
771	1299	383
772	1300	381
773	1302	380
774	1303	378
775	1305	376
776	1307	375
777	1309	373
778	1310	371
779	1312	370
780	1314	368
781	1315	366
782	1317	365
783	1319	363
784	1320	361
785	1322	360
786	1323	358
787	1325	356
788	1327	354
789	1328	353
790	1330	351
791	1331	349
792	1333	348
793	1334	346
794	1336	344
795	1338	342
796	1339	341
797	1341	339
798	1343	337
799	1344	336
800	1346	334
801	1348	332
802	1349	331
803	1351	329
804	1352	327
805	1354	326
806	1356	324
807	1357	322
808	1359	320
809	1360	319
810	1362	317
811	1363	315
812	1365	314
813	1367	312
814	1369	310
815	1371	309
816	1372	307
817	1374	305
818	1375	304
819	1377	302
820	1379	300
821	1380	299
822	1382	297
823	1384	295
824	1385	293
825	1387	292
826	1389	290
827	1391	288
828	1392	287
829	1394	285
830	1396	284
831	1398	282
832	1400	280
833	1402	279
834	1403	277
835	1405	275
836	1407	274
837	1409	272
838	1410	270
839	1412	269
840	1413	267
841	1415	265
842	1417	263
843	1418	262
844	1420	260
845	1421	258
846	1423	257
847	1425	255
848	1426	253
849	1428	252
850	1430	250
851	1432	248
852	1434	247
853	1435	245
854	1438	243
855	1439	242
856	1441	240
857	1443	238
858	1455	238
859	1462	238
860	1464	236
861	1466	234
862	1468	233
863	1470	231
864	1471	229
865	1473	227
866	1474	226
867	1476	224
868	1478	222
869	1480	221
870	1482	219
871	1485	217
872	1487	216
873	1489	214
874	1491	213
875	1493	211
876	1494	209
877	1496	207
878	1498	206
879	1500	204
880	1501	202
881	1503	201
882	1504	199
883	1506	197
884	1508	195
885	1509	194
886	1511	192
887	1513	190
888	1514	189
889	1516	187
890	1517	185
891	1519	183
892	1520	182
893	1522	180
894	1524	178
895	1525	177
896	1527	175
897	1529	173
898	1530	171
899	1532	170
900	1533	168
901	1535	166
902	1537	165
903	1539	163
904	1541	161
905	1543	160
906	1545	158
907	1546	156
908	1548	154
909	1549	153
910	1551	151
911	1552	149
912	1554	148
913	1556	146
914	1557	144
915	1559	143
916	1560	141
917	1562	139
918	1564	137
919	1565	136
920	1567	134
921	1569	132
922	1571	131
923	1572	129
924	1574	127
925	1576	125
926	1577	124
927	1579	122
928	1580	120
929	1582	119
930	1584	117
931	1585	115
932	1587	114
933	1589	112
934	1591	110
935	1592	108
936	1594	107
937	1595	105
938	1597	103
939	1599	102
940	1601	100
941	1603	98
942	1605	97
943	1606	95
944	1608	93
945	1610	91
946	1611	90
947	1614	88
948	1616	86
949	1618	85
950	1621	83
951	1623	81
952	1625	80
953	1628	78
954	1630	76
955	1632	75
956	1634	73
957	1636	71
958	1639	70
959	1641	68
960	1645	66
961	1647	65
962	1649	63
963	1652	61
964	1654	60
965	1657	58
966	1659	56
967	1662	54
968	1664	53
969	1665	51
970	1669	49
971	1671	48
972	1673	46
973	1675	44
974	1677	43
975	1679	41
976	1681	39
977	1682	37
978	1684	36
979	1686	34
980	1688	32
981	1690	30
982	1692	29
983	1693	27
984	1695	25
985	1697	24
986	1699	22
987	1701	20
988	1702	18
989	1705	17
990	1706	15
991	1708	13
992	1710	12
993	1712	10
994	1714	8
995	1715	6
996	1717	5
997	1719	3
998	1721	1
999	1723	0
