iter	Passed	Remaining
0	2032	2030184
1	3871	1931654
2	5640	1874648
3	7019	1747947
4	8415	1674747
5	9832	1628996
6	11222	1591963
7	12614	1564155
8	14027	1544599
9	15433	1527948
10	17032	1531397
11	18458	1519762
12	19837	1506108
13	21250	1496659
14	22632	1486183
15	24029	1477818
16	25411	1469404
17	26847	1464674
18	28247	1458476
19	29641	1452453
20	31042	1447181
21	32440	1442106
22	33827	1436940
23	35227	1432599
24	36646	1429210
25	38101	1427329
26	39601	1427121
27	40988	1422894
28	42388	1419269
29	43773	1415340
30	45168	1411886
31	46577	1408974
32	47954	1405222
33	49334	1401671
34	50718	1398368
35	52108	1395358
36	53508	1392677
37	54912	1390156
38	56305	1387424
39	57703	1384874
40	59110	1382618
41	60504	1380069
42	61901	1377675
43	63292	1375183
44	64679	1372650
45	66076	1370377
46	67478	1368238
47	68857	1365670
48	70248	1363384
49	71642	1361209
50	73034	1359008
51	74417	1356680
52	75832	1354969
53	77228	1352920
54	78633	1351068
55	80011	1348768
56	81415	1346919
57	82852	1345641
58	84253	1343770
59	85645	1341780
60	87041	1339866
61	88441	1338038
62	89859	1336481
63	91253	1334582
64	92670	1333028
65	94069	1331229
66	95476	1329546
67	96888	1327937
68	98321	1326624
69	99749	1325239
70	101144	1323427
71	102545	1321696
72	103937	1319861
73	105342	1318204
74	106763	1316753
75	108177	1315206
76	109587	1313622
77	110980	1311852
78	112380	1310154
79	113842	1309194
80	115542	1310911
81	116951	1309289
82	118370	1307774
83	119819	1306608
84	121236	1305071
85	122670	1303730
86	124074	1302073
87	125481	1300444
88	126890	1298846
89	128296	1297222
90	129714	1295715
91	131160	1294493
92	132603	1293239
93	134026	1291782
94	135444	1290290
95	136855	1288725
96	138399	1288400
97	139912	1287767
98	141404	1286923
99	142875	1285882
100	144308	1284491
101	145839	1283955
102	147274	1282577
103	148694	1281060
104	150098	1279406
105	151521	1277929
106	152994	1276860
107	154530	1276307
108	155965	1274913
109	157389	1273422
110	158872	1272415
111	160367	1271488
112	161806	1270107
113	163224	1268570
114	164648	1267077
115	166050	1265416
116	167480	1263973
117	168891	1262389
118	170304	1260825
119	171764	1259605
120	173168	1257978
121	174607	1256602
122	176043	1255202
123	177459	1253662
124	178896	1252274
125	180324	1250825
126	181750	1249356
127	183186	1247958
128	184634	1246639
129	186050	1245106
130	187493	1243756
131	188912	1242241
132	190355	1240889
133	191791	1239486
134	193199	1237909
135	194628	1236465
136	196063	1235057
137	197477	1233520
138	198900	1232037
139	200326	1230579
140	201755	1229136
141	203198	1227778
142	204614	1226254
143	206024	1224700
144	207450	1223241
145	208881	1221811
146	210329	1220483
147	211766	1219088
148	213235	1217877
149	214685	1216550
150	216100	1215026
151	217522	1213547
152	218964	1212176
153	220398	1210763
154	221840	1209388
155	223374	1208512
156	224882	1207487
157	226351	1206252
158	227773	1204765
159	229167	1203128
160	230555	1201465
161	231956	1199872
162	233351	1198250
163	234754	1196675
164	236145	1195037
165	237568	1193565
166	238974	1192009
167	240376	1190434
168	241800	1188972
169	243195	1187367
170	244605	1185837
171	246026	1184359
172	247422	1182767
173	248846	1181305
174	250252	1179761
175	251665	1178254
176	253059	1176653
177	254472	1175147
178	255875	1173596
179	257291	1172104
180	258706	1170609
181	260110	1169066
182	261500	1167463
183	262908	1165940
184	264312	1164404
185	265711	1162844
186	267106	1161269
187	268504	1159709
188	269896	1158127
189	271303	1156610
190	272716	1155117
191	274137	1153663
192	275557	1152200
193	276965	1150693
194	278420	1149376
195	279842	1147923
196	281235	1146356
197	282651	1144882
198	284048	1143329
199	285439	1141759
200	286848	1140257
201	288259	1138768
202	289674	1137292
203	291070	1135747
204	292466	1134199
205	293866	1132670
206	295265	1131139
207	296686	1129692
208	298104	1128233
209	299513	1126741
210	300928	1125274
211	302325	1123738
212	303740	1122271
213	305157	1120810
214	306765	1120051
215	308379	1119302
216	310019	1118640
217	311504	1117416
218	312882	1115806
219	314238	1114117
220	315596	1112441
221	316999	1110926
222	318389	1109365
223	319762	1107748
224	321218	1106419
225	322744	1105329
226	324258	1104193
227	325834	1103265
228	327364	1102176
229	328781	1100702
230	330241	1099373
231	331700	1098042
232	333156	1096699
233	334613	1095360
234	336108	1094142
235	337546	1092734
236	339017	1091437
237	340462	1090052
238	341901	1088648
239	343436	1087549
240	345048	1086687
241	346578	1085563
242	347998	1084093
243	349423	1082640
244	350841	1081163
245	352254	1079674
246	353824	1078664
247	355365	1077558
248	357106	1077057
249	358608	1075824
250	360132	1074659
251	361677	1073549
252	363062	1071967
253	364433	1070343
254	365797	1068703
255	367216	1067223
256	368611	1065675
257	370033	1064206
258	371615	1063193
259	373143	1062022
260	374775	1061145
261	376357	1060120
262	377877	1058918
263	379307	1057462
264	380855	1056334
265	382576	1055679
266	384004	1054213
267	385584	1053164
268	387207	1052224
269	388635	1050754
270	390019	1049166
271	391431	1047655
272	392835	1046121
273	394251	1044622
274	395614	1042984
275	396961	1041305
276	398334	1039696
277	399683	1038026
278	401194	1036778
279	402723	1035575
280	404143	1034088
281	405738	1033051
282	407177	1031613
283	408553	1030014
284	409953	1028480
285	411284	1026773
286	412605	1025044
287	413958	1023396
288	415320	1021773
289	416763	1020351
290	418166	1018832
291	419568	1017309
292	420942	1015722
293	422374	1014273
294	424108	1013548
295	425663	1012389
