iter	Logloss
0	0.6866873246
1	0.6812935889
2	0.6755199983
3	0.6688324987
4	0.6632175441
5	0.6577827169
6	0.6511163441
7	0.646262964
8	0.6401816414
9	0.6348828426
10	0.6300057751
11	0.6246604027
12	0.6192405223
13	0.6144076827
14	0.6102336062
15	0.6055410783
16	0.6014133897
17	0.5962899775
18	0.5930314071
19	0.5883039256
20	0.5836225255
21	0.5807060123
22	0.5761228741
23	0.57207799
24	0.568436637
25	0.5642244115
26	0.5603610042
27	0.5564254617
28	0.5534154047
29	0.5502690599
30	0.5472605916
31	0.544014688
32	0.5403466881
33	0.5369911659
34	0.535058014
35	0.5314122631
36	0.5289555728
37	0.5257274902
38	0.5229687985
39	0.5196345445
40	0.517166439
41	0.5147581501
42	0.5118470787
43	0.5097593616
44	0.5075985934
45	0.5057623169
46	0.5031263942
47	0.5008297524
48	0.4981355119
49	0.4954161855
50	0.4927867046
51	0.4908190552
52	0.4888064058
53	0.4867984194
54	0.4853864501
55	0.483291357
56	0.4813627214
57	0.4790412329
58	0.4773513953
59	0.4761406765
60	0.4740906123
61	0.4722278372
62	0.4701570354
63	0.4683122447
64	0.4665401092
65	0.4649452555
66	0.4635654136
67	0.4617958808
68	0.4602619754
69	0.4585047114
70	0.4571124899
71	0.4560617876
72	0.4544802091
73	0.4527690083
74	0.4514669594
75	0.4503444027
76	0.4487624626
77	0.4473157244
78	0.4457822176
79	0.4446255669
80	0.443153693
81	0.4421129557
82	0.4407086556
83	0.4396395916
84	0.4389441912
85	0.4381214069
86	0.4367586252
87	0.4352206131
88	0.4343420957
89	0.4330529342
90	0.4321414051
91	0.4311422068
92	0.4297615618
93	0.4284734914
94	0.4276270693
95	0.4267519855
96	0.4259036691
97	0.4250474017
98	0.4243357792
99	0.4234249555
100	0.4226551736
101	0.421743402
102	0.4209799878
103	0.420125126
104	0.419044386
105	0.4181807728
106	0.417222167
107	0.4161749096
108	0.4155887916
109	0.4149323478
110	0.414003775
111	0.4136197187
112	0.4129902688
113	0.4125188781
114	0.4121741047
115	0.4118156451
116	0.4110720854
117	0.4106527681
118	0.4099938558
119	0.4093058809
120	0.4085045747
121	0.4081194198
122	0.4075280562
123	0.4067011909
124	0.4058298633
125	0.4054752979
126	0.4050024612
127	0.4043010484
128	0.4035121866
129	0.4029940953
130	0.4024838597
131	0.4018923039
132	0.401557715
133	0.4009472208
134	0.4003736116
135	0.3998243498
136	0.3992192725
137	0.398741422
138	0.3985240844
139	0.3979052648
140	0.3974290275
141	0.3967991373
142	0.396225803
143	0.3956189102
144	0.3951308041
145	0.3945565515
146	0.3940897591
147	0.3936320383
148	0.3929959944
149	0.3926385309
150	0.3921523435
151	0.3916398461
152	0.3912850381
153	0.3907545621
154	0.3906218127
155	0.3903355933
156	0.3897634376
157	0.389352473
158	0.3889088046
159	0.3883788457
160	0.38780053
161	0.3871774664
162	0.386773221
163	0.386373826
164	0.3859866622
165	0.3854436947
166	0.3850142993
167	0.3846057074
168	0.3840733316
169	0.3837518421
170	0.3834812862
171	0.3832008102
172	0.3829182626
173	0.3826422633
174	0.3825365041
175	0.3820486849
176	0.3816555832
177	0.3813782192
178	0.3810560862
179	0.3806327252
180	0.3804038759
181	0.3801158946
182	0.3800137246
183	0.3796649827
184	0.3793380908
185	0.3789423455
186	0.3787936738
187	0.3787071937
188	0.3782831569
189	0.3778482263
190	0.3775786461
191	0.3773149608
192	0.3770545039
193	0.3767390945
194	0.3763540035
195	0.3761507403
196	0.3758449321
197	0.3756151842
198	0.3752888718
199	0.3749050452
200	0.3746388006
201	0.3743952508
202	0.3740658092
203	0.3738566278
204	0.3734814112
205	0.373131013
206	0.3730033982
207	0.3727457589
208	0.3724890657
209	0.3723143433
210	0.3721458174
211	0.371896743
212	0.3717150893
213	0.3713442978
214	0.371026698
215	0.3708067976
216	0.3705252372
217	0.3703938462
218	0.3701856015
219	0.3700141878
220	0.3698215292
221	0.3696606439
222	0.3693086174
223	0.3692709932
224	0.3692023337
225	0.3689716705
226	0.3687900674
227	0.3684740809
228	0.3681762778
229	0.3678432049
230	0.3675538327
231	0.3673698512
232	0.3671568672
233	0.3669569983
234	0.366619935
235	0.366251846
236	0.3659961805
237	0.3656977477
238	0.3653535803
239	0.3650376674
240	0.3648111411
241	0.3645028647
242	0.3642835473
243	0.3641575078
244	0.3640078492
245	0.3638570584
246	0.3637176973
247	0.3634719587
248	0.3634269191
249	0.3631535253
250	0.3630401957
251	0.3627582188
252	0.362432197
253	0.3621839312
254	0.361894886
255	0.3616344143
256	0.3613266082
257	0.3611216635
258	0.3608708504
259	0.360747341
260	0.3606112593
261	0.3604419917
262	0.3601963444
263	0.3601292577
264	0.3598960033
265	0.3597404318
266	0.3594260494
267	0.3591166379
268	0.3588994905
269	0.3588877854
270	0.3586275726
271	0.3582476782
272	0.3581474202
273	0.3580179791
274	0.3578053402
275	0.3576415104
276	0.3573331393
277	0.3572146949
278	0.3570410233
279	0.3568401925
280	0.3566000228
281	0.3563381057
282	0.3561851505
283	0.3560091105
284	0.3559238082
285	0.3557442636
286	0.3554883341
287	0.3553724817
288	0.3551322745
289	0.3548510571
290	0.3545857188
291	0.3543689335
292	0.3542363518
293	0.3541090341
294	0.35394543
295	0.3538593108
296	0.353667674
297	0.3535150278
298	0.3533874007
299	0.3533054617
300	0.3531414106
301	0.353032592
302	0.3529269228
303	0.3527974759
304	0.3527216485
305	0.3524892576
306	0.3523636434
307	0.3522005562
308	0.3520347663
309	0.3518572537
310	0.3517431648
311	0.3516468468
312	0.351455884
313	0.3513399763
314	0.351076694
315	0.3509136481
316	0.3507987273
317	0.3506678554
318	0.3504544109
319	0.3502426337
320	0.3500782139
321	0.3498003817
322	0.3497027221
323	0.349491697
324	0.3492140133
325	0.3489557627
326	0.3488669315
327	0.3486640743
328	0.3485016061
329	0.3483301752
330	0.3481533041
331	0.3480166603
332	0.3478560943
333	0.3477538191
334	0.3477006186
335	0.3475399815
336	0.3473695123
337	0.3471776261
338	0.3470348187
339	0.3469232894
340	0.3466249739
341	0.3464846303
342	0.3464144227
343	0.3463040775
344	0.3460721975
345	0.3458012594
346	0.3457325149
347	0.3456204046
348	0.3455583853
349	0.3454587905
350	0.3452340791
351	0.3450309679
352	0.3447807721
353	0.344597959
354	0.3444894756
355	0.3442814952
356	0.3441832276
357	0.3439826555
358	0.3438469058
359	0.3435528464
360	0.343432334
361	0.3432499873
362	0.3431076638
363	0.3428426828
364	0.3427064692
365	0.342504475
366	0.3423548669
367	0.3421864173
368	0.3418906213
369	0.3415410786
370	0.3413985169
371	0.3412942023
372	0.3410562965
373	0.340887759
374	0.3407322329
375	0.3406068245
376	0.3405309413
377	0.3403744478
378	0.3401632567
379	0.3400784564
380	0.3398733656
381	0.3397658544
382	0.3396040898
383	0.339459827
384	0.3393829829
385	0.3393134364
386	0.3392781401
387	0.339269731
388	0.3391201993
389	0.3390282565
390	0.3389579554
391	0.3389331634
392	0.3387925217
393	0.3387024399
394	0.3385897363
395	0.3384222044
396	0.3382864508
397	0.3381179762
398	0.3379557706
399	0.3377558332
400	0.3374859258
401	0.337270773
402	0.3371194789
403	0.3369945089
404	0.3368252881
405	0.3367084659
406	0.3366206743
407	0.3364918014
408	0.336458554
409	0.3363141822
410	0.3361878497
411	0.3359697781
412	0.3358522935
413	0.3356819769
414	0.3355979377
415	0.3354831116
416	0.3353468595
417	0.3352346709
418	0.335088721
419	0.3348719962
420	0.3347991081
421	0.3347703903
422	0.3346247907
423	0.3344549738
424	0.3343933132
425	0.334284549
426	0.3342185175
427	0.3341736468
428	0.3339325306
429	0.3337127645
430	0.3335732595
431	0.3334527606
432	0.3333781227
433	0.333258002
434	0.3331930919
435	0.332958873
436	0.3328862069
437	0.3327831629
438	0.3325920714
439	0.3324200015
440	0.3322793331
441	0.3321879848
442	0.3320540239
443	0.3318604943
444	0.3317667592
445	0.3317640642
446	0.3315877569
447	0.3314717642
448	0.3313922169
449	0.3312548886
450	0.3311169964
451	0.3309223347
452	0.3306691289
453	0.3305064051
454	0.3303778922
455	0.3302845334
456	0.3302809414
457	0.330201012
458	0.3300747319
459	0.330019461
460	0.3299352634
461	0.3297568312
462	0.3296303172
463	0.3294834156
464	0.329405248
465	0.3292701899
466	0.3291302472
467	0.3290158541
468	0.3289543549
469	0.3288796548
470	0.3288317192
471	0.3288313255
472	0.3287826567
473	0.3287303262
474	0.3285407933
475	0.3283669272
476	0.3283293636
477	0.3282851959
478	0.3282552135
479	0.3281067703
480	0.3280266807
481	0.3279657606
482	0.3278474818
483	0.3278352341
484	0.3277576162
485	0.3277105983
486	0.3276369107
487	0.3275761119
488	0.3274554598
489	0.3272023692
490	0.3270814692
491	0.3270650044
492	0.3269975055
493	0.3269120181
494	0.3266762331
495	0.3266547282
496	0.3265303575
497	0.3263867099
498	0.3263010818
499	0.3260546718
500	0.3259814252
501	0.3258440533
502	0.3257266603
503	0.325640828
504	0.325457005
505	0.3253161307
506	0.325237877
507	0.32513893
508	0.3250867249
509	0.3249353999
510	0.3248477765
511	0.3246156291
512	0.3245613754
513	0.3244377932
514	0.3242268093
515	0.324173123
516	0.324025565
517	0.3239487229
518	0.3238536557
519	0.3237883947
520	0.3237032649
521	0.3236083985
522	0.3235381019
523	0.323471501
524	0.3234154011
525	0.3232481919
526	0.3231979117
527	0.3230446999
528	0.3230147645
529	0.3229963347
530	0.3229121216
531	0.322808224
532	0.3227153697
533	0.3225267529
534	0.3223789807
535	0.3222604276
536	0.3220803919
537	0.3219115434
538	0.3218202789
539	0.3217777499
540	0.3217283484
541	0.3217153971
542	0.3216750678
543	0.3215278827
544	0.3214073752
545	0.321285523
546	0.3211045824
547	0.3210841358
548	0.3210006996
549	0.3209899142
550	0.3209065185
551	0.3208164043
552	0.3208004757
553	0.3206892009
554	0.3205072664
555	0.3203360294
556	0.3201575658
557	0.3199938768
558	0.3197672298
559	0.3196457102
560	0.3195804478
561	0.319478861
562	0.3194049175
563	0.3192886796
564	0.3190747706
565	0.3189975849
566	0.3188891924
567	0.3187878698
568	0.3186918188
569	0.3186441683
570	0.3184970707
571	0.3183769148
572	0.3182418653
573	0.3181780521
574	0.3181312831
575	0.317954615
576	0.3178434376
577	0.3177488251
578	0.3176919137
579	0.3176131214
580	0.3175153598
581	0.3174576614
582	0.3172783662
583	0.3171866801
584	0.3170102566
585	0.316918295
586	0.31684704
587	0.3168391723
588	0.3167856885
589	0.3166242699
590	0.3164696738
591	0.3163253779
592	0.316255037
593	0.3162345806
594	0.3161838209
595	0.3159752967
596	0.3158997266
597	0.3158762558
598	0.3157929098
599	0.3155481009
600	0.3153787843
601	0.3152858766
602	0.3151592969
603	0.3150174827
604	0.3149650767
605	0.3148382649
606	0.3146380043
607	0.3146127191
608	0.314495369
609	0.3143325843
610	0.3143167616
611	0.3142422072
612	0.3142264694
613	0.3141230705
614	0.3141075117
615	0.3140534177
616	0.313937147
617	0.3138593777
618	0.3138475148
619	0.3137399773
620	0.3135626638
621	0.3134041577
622	0.3132773613
623	0.3132763272
624	0.3132088838
625	0.3130978785
626	0.3130286817
627	0.3129822743
628	0.3128824691
629	0.3128045238
630	0.3125999599
631	0.312409699
632	0.312395606
633	0.3123420147
634	0.3123410735
635	0.3123005472
636	0.3122450054
637	0.3121713315
638	0.3120860432
639	0.3117776894
640	0.3117369393
641	0.3117150684
642	0.3115670389
643	0.3114330372
644	0.3113757106
645	0.3112655272
646	0.3112066215
647	0.3110767936
648	0.3107917944
649	0.3107335776
650	0.3106168704
651	0.3104407459
652	0.3104163652
653	0.310407063
654	0.3103030158
655	0.3102650213
656	0.3101218566
657	0.3099638275
658	0.3098627484
659	0.3096576908
660	0.3096492325
661	0.3095164255
662	0.3094394357
663	0.3093316614
664	0.3092984542
665	0.3092018279
666	0.3090954503
667	0.3089598369
668	0.3088739254
669	0.3087091525
670	0.3086660278
671	0.3085100015
672	0.3085090247
673	0.3083946112
674	0.3081895006
675	0.3081407252
