iter	Passed	Remaining
0	164	16328
1	185	9093
2	207	6700
3	227	5471
4	246	4678
5	264	4145
6	285	3786
7	306	3530
8	329	3332
9	349	3141
10	368	2978
11	385	2829
12	403	2698
13	420	2583
14	438	2487
15	457	2402
16	476	2326
17	495	2257
18	512	2184
19	529	2118
20	546	2056
21	567	2010
22	586	1963
23	602	1908
24	621	1863
25	637	1814
26	656	1774
27	673	1732
28	692	1696
29	711	1660
30	730	1626
31	748	1590
32	768	1560
33	786	1526
34	805	1496
35	821	1460
36	837	1425
37	854	1394
38	872	1364
39	891	1337
40	909	1308
41	927	1280
42	944	1251
43	962	1224
44	981	1199
45	998	1172
46	1015	1145
47	1037	1124
48	1059	1102
49	1078	1078
50	1096	1053
51	1113	1027
52	1131	1003
53	1149	978
54	1168	955
55	1186	932
56	1207	910
57	1228	889
58	1243	864
59	1261	840
60	1278	817
61	1295	794
62	1316	772
63	1334	750
64	1353	729
65	1368	705
66	1385	682
67	1406	661
68	1422	639
69	1440	617
70	1456	595
71	1474	573
72	1491	551
73	1508	530
74	1525	508
75	1547	488
76	1564	467
77	1584	446
78	1599	425
79	1616	404
80	1636	383
81	1653	363
82	1672	342
83	1689	321
84	1709	301
85	1725	280
86	1743	260
87	1759	239
88	1779	219
89	1799	199
90	1816	179
91	1834	159
92	1851	139
93	1870	119
94	1890	99
95	1909	79
96	1928	59
97	1945	39
98	1965	19
99	1981	0
